UF,media,ano
SP,22.2,2012
AM,26.89,2012
MG,22.61,2012
ES,23.74,2012
TO,26.81,2012
RR,28.11,2012
RJ,22.39,2012
RO,26.11,2012
RO,25.97,2013
RR,28.11,2013
TO,26.84,2013
ES,23.51,2013
RJ,22.12,2013
PA,27.03,2013
SP,21.65,2013
PR,20.48,2013
RS,18.54,2013
SC,18.28,2013
MG,22.31,2013
AP,26.88,2013
RN,28.14,2013
AC,25.54,2013
PI,28.54,2013
PE,26.2,2013
MA,27.72,2013
CE,27.85,2013
BA,25.36,2013
AL,26.04,2013
MT,25.5,2013
MS,24.18,2013
GO,24.02,2013
DF,21.95,2013
AM,26.96,2013
PB,26.21,2013
SE,25.92,2013
PR,21.4,2014
DF,22.16,2014
RS,19.64,2014
SC,19.43,2014
MG,22.66,2014
ES,23.64,2014
TO,26.63,2014
RR,28.56,2014
RO,26.1,2014
PA,26.97,2014
AP,26.82,2014
AM,26.95,2014
SP,22.53,2014
AC,25.47,2014
RN,27.91,2014
PI,28.14,2014
PE,25.63,2014
PB,25.78,2014
MA,27.46,2014
CE,27.54,2014
BA,24.86,2014
AL,25.8,2014
MT,25.73,2014
MS,24.57,2014
GO,24.28,2014
SE,25.54,2014
RJ,22.75,2014
RS,19.52,2015
GO,24.87,2015
ES,24.64,2015
TO,27.32,2015
RR,28.9,2015
RO,26.93,2015
PA,27.41,2015
AP,27.31,2015
AM,27.65,2015
AC,26.03,2015
SE,26.04,2015
RN,28.06,2015
PI,29.01,2015
PE,26.45,2015
PB,26.31,2015
MA,28.06,2015
CE,27.91,2015
BA,25.8,2015
AL,27.37,2015
MT,26.37,2015
MS,24.96,2015
DF,22.87,2015
PR,21.34,2015
RJ,23.43,2015
SC,19.17,2015
MG,23.31,2015
SP,22.66,2015
RJ,22.85,2016
MG,23.13,2016
RR,28.61,2016
SP,22.15,2016
PR,20.51,2016
RS,18.81,2016
SC,18.2,2016
RO,26.84,2016
PA,27.55,2016
AP,27.21,2016
AM,27.64,2016
AC,26.09,2016
SE,26.24,2016
PI,29.13,2016
ES,24.31,2016
PE,26.28,2016
PB,26.25,2016
MA,28.37,2016
CE,28.32,2016
BA,25.77,2016
AL,26.68,2016
MT,26.01,2016
MS,24.05,2016
GO,24.82,2016
DF,23.0,2016
RN,28.37,2016
TO,27.58,2016
RR,26.64,2017
DF,22.45,2017
MG,22.76,2017
RJ,22.58,2017
RO,26.67,2017
PA,27.2,2017
AP,27.34,2017
AM,27.24,2017
AC,25.92,2017
SE,25.41,2017
RN,28.09,2017
PI,28.56,2017
PE,25.99,2017
PB,26.23,2017
MA,27.82,2017
CE,27.85,2017
BA,25.37,2017
AL,26.19,2017
MT,25.99,2017
MS,24.75,2017
GO,24.52,2017
TO,26.92,2017
ES,23.22,2017
PR,21.14,2017
SC,19.08,2017
RS,19.64,2017
SP,22.46,2017
SP,22.5,2018
RJ,22.47,2018
MG,22.73,2018
ES,23.61,2018
TO,26.65,2018
RR,27.17,2018
RO,26.31,2018
PA,26.84,2018
AP,27.03,2018
AM,27.1,2018
AC,25.69,2018
RS,19.04,2018
RN,28.0,2018
PI,28.01,2018
PE,26.02,2018
PB,26.31,2018
MA,27.58,2018
CE,27.32,2018
BA,25.4,2018
AL,26.31,2018
MT,25.43,2018
MS,24.02,2018
GO,24.38,2018
PR,20.76,2018
SE,25.84,2018
DF,22.26,2018
SC,18.91,2018
DF,22.96,2019
SP,23.02,2019
RJ,22.87,2019
MG,23.44,2019
ES,24.33,2019
TO,27.01,2019
RR,28.31,2019
RO,26.62,2019
PA,27.06,2019
AP,27.06,2019
AM,27.23,2019
AC,25.92,2019
SE,26.36,2019
PI,28.4,2019
PE,26.05,2019
PB,26.51,2019
MA,27.75,2019
CE,27.41,2019
BA,26.04,2019
AL,26.94,2019
MT,26.13,2019
MS,25.37,2019
GO,25.08,2019
RN,27.94,2019
PR,21.76,2019
SC,19.26,2019
RS,19.51,2019
SC,18.91,2020
DF,22.34,2020
GO,24.68,2020
MS,24.94,2020
MT,26.54,2020
AL,27.03,2020
BA,25.15,2020
CE,27.28,2020
PB,26.22,2020
PE,25.86,2020
PI,27.57,2020
RN,28.67,2020
SE,26.28,2020
MA,27.64,2020
AM,27.68,2020
AC,26.3,2020
PR,21.15,2020
SP,22.77,2020
RJ,22.6,2020
MG,22.62,2020
ES,24.19,2020
RS,19.35,2020
RR,28.22,2020
RO,26.62,2020
PA,27.14,2020
AP,27.37,2020
TO,27.02,2020
PI,27.72,2021
PE,27.27,2021
PB,27.5,2021
MA,27.15,2021
CE,27.62,2021
AL,27.49,2021
MT,25.77,2021
MS,25.89,2021
GO,25.23,2021
RN,30.44,2021
BA,26.65,2021
SE,26.95,2021
SC,21.83,2021
AM,26.45,2021
AP,26.53,2021
PA,26.53,2021
RO,25.61,2021
RR,29.58,2021
TO,26.85,2021
ES,26.4,2021
MG,24.77,2021
RJ,26.07,2021
SP,25.47,2021
PR,22.93,2021
RS,23.74,2021
AC,25.84,2021
DF,23.22,2021
